MP Name,Constituency,State,House,Allocated Amount (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Unspent Amount (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,Maharashtra,Lok Sabha,185640423.0,24518118.0,13.21,23,101,18.55,161122305.0,42,41,1,
Shri S Niranjan Reddy (2022-28),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,224621383.11,29499116.0,13.13,3,16,15.79,195122267.11,28,26,2,
Shri Golla Baburao (2024-30),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,147000000.0,18853785.0,12.83,2,42,4.55,128146215.0,19,19,0,
Manoj Tiwari,NORTH EAST DELHI,Delhi,Lok Sabha,225843858.0,28650238.0,12.69,6,17,26.09,197193620.0,9,9,0,
Shri Narain Dass Gupta (2024-30),Sitting Rajya Sabha,Delhi,Rajya Sabha,160837070.0,20020022.0,12.45,11,41,21.15,140817048.0,15,15,0,
Shri Ashok Singh (2024-30),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,147000000.0,18068265.0,12.29,11,99,10.0,128931735.0,57,55,2,
Anurag Singh Thakur,HAMIRPUR,Himachal Pradesh,Lok Sabha,149570117.11,18376823.0,12.29,45,162,21.74,131193294.11,231,224,7,
PRIYANKA SATISH JARKIHOLI,CHIKKODI,Karnataka,Lok Sabha,147000000.0,17833577.0,12.13,16,143,10.06,129166423.0,34,32,2,
VAMSI KRISHNA GADDAM,PEDDAPALLE,Telangana,Lok Sabha,148451721.11,16373473.0,11.03,9,62,12.68,132078248.11,22,22,0,
BIBHU PRASAD TARAI,JAGATSINGHPUR,Odisha,Lok Sabha,147000000.0,16033683.0,10.91,15,324,4.42,130966317.0,74,73,1,
SURESH GOPI,THRISSUR,Kerala,Lok Sabha,147000000.0,16001891.0,10.89,15,75,16.67,130998109.0,21,21,0,
SHAFI PARAMBIL,VADAKARA,Kerala,Lok Sabha,147000000.0,15909800.0,10.82,15,228,6.17,131090200.0,56,54,2,
VARUN CHAUDHRY,AMBALA,Haryana,Lok Sabha,255454264.0,27537055.0,10.78,3,154,1.91,227917209.0,104,99,5,
BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Lok Sabha,147000000.0,15498347.0,10.54,0,27,0.0,131501653.0,9,9,0,
Shripad Yesso Naik,NORTH GOA,Goa,Lok Sabha,147000000.0,15476370.0,10.53,1,110,0.9,131523630.0,25,25,0,
SAGAR ESHWAR KHANDRE,BIDAR,Karnataka,Lok Sabha,147000000.0,15422826.0,10.49,5,173,2.81,131577174.0,50,46,4,
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,Maharashtra,Lok Sabha,147000000.0,14990871.0,10.2,7,69,9.21,132009129.0,14,14,0,
BALABHADRA MAJHI,NABARANGPUR,Odisha,Lok Sabha,147413962.11,14970212.0,10.16,20,200,9.09,132443750.11,128,105,23,
Krishna Prasad Tenneti,BAPATLA,Andhra Pradesh,Lok Sabha,167796849.11,16927605.0,10.09,6,118,4.84,150869244.11,23,21,2,
